,word,x,y,z
43,In,-36.639244079589844,3.5547726154327393,-46.61656951904297
44,regard,13.20093059539795,54.899688720703125,90.013427734375
45,from,-87.45659637451172,51.26023483276367,-74.65670776367188
46,Sanskrit,-59.17303466796875,66.33697509765625,-45.445274353027344
47,nothing,5.921853542327881,0.8899527192115784,87.87163543701172
48,than,48.13279724121094,82.40177154541016,100.69676971435547
49,dish,-46.94856262207031,16.5938663482666,-144.08078002929688
50,up,109.30463409423828,22.17621421813965,102.63188934326172
51,Hindu,-74.26448059082031,4.793221473693848,123.93618774414062
52,make,-143.16433715820312,74.98104858398438,-6.429351806640625
53,them,1.0904561281204224,-13.389835357666016,-82.33515167236328
54,agreeable,45.05241775512695,33.38605499267578,88.23585510253906
55,English,-1.9079066514968872,6.924552917480469,32.78941345214844
56,But,-21.468372344970703,-73.54425811767578,93.46194458007812
57,endeavour,120.78630065917969,12.713337898254395,75.73240661621094
58,present,-29.564367294311523,-13.206381797790527,-128.6077117919922
59,has,93.36054229736328,12.705442428588867,-39.63482666015625
60,give,-10.403998374938965,101.85967254638672,10.452220916748047
61,following,-97.8061752319336,49.942501068115234,58.53376388549805
62,literal,-8.014540672302246,52.3422966003418,-3.909377098083496
63,rendering,-10.900054931640625,25.594932556152344,0.6279130578041077
64,great,36.589107513427734,114.55738067626953,30.56656837463379
65,work,-106.3974609375,-7.785945892333984,-8.199814796447754
66,Vyasa,3.049703359603882,-35.684906005859375,53.35515594482422
67,To,-67.97186279296875,62.29995346069336,41.677772521972656
68,reader,-14.878802299499512,-64.19857788085938,-66.03665161132812
69,there,-28.342378616333008,-46.32939910888672,88.48322296142578
70,much,-142.01705932617188,-43.7202262878418,3.2848005294799805
71,that,13.549307823181152,55.20424270629883,74.89366912841797
72,will,102.35893249511719,-59.84052276611328,73.91168975830078
73,strike,-22.90570068359375,-112.31340789794922,19.837900161743164
74,ridiculous,-135.8550262451172,-28.823999404907227,81.42987823486328
75,Those,-17.70374870300293,92.59381866455078,-70.55589294433594
76,unacquainted,-9.125458717346191,-24.862913131713867,-37.195552825927734
77,with,33.15116500854492,94.83959197998047,18.60068702697754
78,any,-42.015968322753906,18.981897354125977,-4.4515790939331055
79,but,-44.91251754760742,24.036800384521484,75.43603515625
80,their,-109.45330810546875,-2.534569501876831,-79.29780578613281
81,own,-45.94562530517578,-119.22835540771484,-1.919808268547058
82,are,45.871089935302734,81.9113998413086,-6.012988090515137
83,generally,5.0637030601501465,74.45156860351562,51.820247650146484
84,very,116.28104400634766,-3.8479461669921875,-30.229997634887695
85,exclusive,-114.39601135253906,-39.545536041259766,49.27245330810547
86,matters,-68.34307861328125,16.1586971282959,65.19771575927734
87,Having,-23.794681549072266,-111.10225677490234,-3.2730467319488525
88,no,130.63052368164062,-16.139095306396484,22.878192901611328
89,knowledge,29.89700698852539,14.261566162109375,85.43290710449219
90,other,114.44743347167969,-36.32063293457031,13.481108665466309
91,what,-1.4547944068908691,-131.22682189941406,18.51810646057129
92,they,-2.6815786361694336,-95.66590881347656,-18.603530883789062
93,meet,-55.5113410949707,-0.21150726079940796,-146.03128051757812
94,tongue,58.47885513305664,71.66104888916016,105.2784652709961
95,standard,99.41276550292969,18.788869857788086,-112.16414642333984
96,formed,-98.04495239257812,-88.69671630859375,18.954540252685547
97,purity,44.665130615234375,-22.52228355407715,46.022377014160156
98,composition,32.656314849853516,-51.15172576904297,-12.960762023925781
99,must,106.62060546875,135.25054931640625,5.311413288116455
100,necessarily,19.05583953857422,-116.19053649902344,-102.62445068359375
101,narrow,-81.92584228515625,-64.64317321777344,21.969066619873047
102,one,-58.225563049316406,54.9787712097168,-40.86924362182617
103,however,128.1022491455078,39.155372619628906,-70.59490203857422
104,would,-119.5803451538086,-39.043800354003906,30.497331619262695
105,ill,49.05270767211914,-63.610595703125,-55.01450729370117
106,discharge,31.488048553466797,-83.10594940185547,-80.79330444335938
107,for,10.489532470703125,-73.56008911132812,-94.63434600830078
108,sake,-31.49410629272461,-32.136985778808594,41.34770584106445
109,avoiding,87.6736831665039,-41.74558639526367,-84.24658203125
110,ridicule,-27.26824951171875,-8.88126277923584,-76.90557098388672
111,he,-31.27225112915039,-61.76641845703125,27.66544532775879
112,sacrificed,-151.46121215820312,-5.966959476470947,-15.145166397094727
113,original,-49.76348876953125,-29.130229949951172,56.70927047729492
114,He,-108.42521667480469,-80.87151336669922,77.51522064208984
115,not,28.32447052001953,-69.10310363769531,-31.702251434326172
116,please,-20.53179359436035,27.728694915771484,116.38721466064453
117,those,81.68362426757812,-46.7973747253418,-99.54554748535156
118,entirely,-55.61920166015625,19.163061141967773,-14.083985328674316
119,him,45.340904235839844,-38.13469314575195,85.57839965820312
120,Mr,-94.56288146972656,118.33763885498047,6.385982036590576
121,translation,-13.51839542388916,-6.741517543792725,44.87093734741211
122,close,-0.08056998997926712,149.28668212890625,-82.8233642578125
123,adherence,53.47920227050781,-77.75965881347656,-90.1332015991211
124,even,42.340450286865234,32.42946243286133,-16.408098220825195
125,against,-65.1595230102539,-48.75751495361328,73.35352325439453
126,called,23.638763427734375,54.338172912597656,25.035526275634766
127,Free,0.3011835813522339,72.1705551147461,-52.87342834472656
128,means,66.99464416503906,-47.6821174621582,53.56719970703125
129,dressing,-23.180362701416016,-40.06703567504883,-72.1774673461914
130,an,-92.34293365478516,-18.797269821166992,-33.64406204223633
131,garb,116.3487319946289,-24.544160842895508,2.841421127319336
132,whom,37.5080451965332,24.625904083251953,21.970598220825195
133,introduced,-40.44990158081055,-36.23664855957031,41.4266471862793
134,C,1.459754467010498,84.25509643554688,31.042579650878906
135,says,-77.1413803100586,-114.63111877441406,54.667850494384766
